HKL	          d	    F^2	  M	
[-1,0,-1]	 2.06263	  128.60	  12
[1,0,1] 	 2.06263	  128.60	  12
[-1,-1,0]	 2.06263	  128.60	  12
[-1,0,1]	 2.06263	  128.60	  12
[0,-1,-1]	 2.06263	  128.60	  12
[0,-1,1]	 2.06263	  128.60	  12
[0,1,-1]	 2.06263	  128.60	  12
[0,1,1] 	 2.06263	  128.60	  12
[1,0,-1]	 2.06263	  128.60	  12
[1,1,0] 	 2.06263	  128.60	  12
[-1,1,0]	 2.06263	  128.60	  12
[1,-1,0]	 2.06263	  128.60	  12
[0,0,-2]	 1.45850	   50.85	   6
[0,0,2] 	 1.45850	   50.85	   6
[-2,0,0]	 1.45850	   50.85	   6
[0,-2,0]	 1.45850	   50.85	   6
[0,2,0] 	 1.45850	   50.85	   6
[2,0,0] 	 1.45850	   50.85	   6
[-1,-1,-2]	 1.19086	   20.10	  24
[1,1,2] 	 1.19086	   20.10	  24
[-1,-2,-1]	 1.19086	   20.10	  24
[-1,1,-2]	 1.19086	   20.10	  24
[-1,1,2]	 1.19086	   20.10	  24
[1,-1,-2]	 1.19086	   20.10	  24
[1,-1,2]	 1.19086	   20.10	  24
[1,2,1] 	 1.19086	   20.10	  24
[-2,-1,-1]	 1.19086	   20.10	  24
[-2,-1,1]	 1.19086	   20.10	  24
[-2,1,-1]	 1.19086	   20.10	  24
[-2,1,1]	 1.19086	   20.10	  24
[-1,-2,1]	 1.19086	   20.10	  24
[-1,-1,2]	 1.19086	   20.10	  24
[1,1,-2]	 1.19086	   20.10	  24
[1,2,-1]	 1.19086	   20.10	  24
[2,-1,-1]	 1.19086	   20.10	  24
[2,-1,1]	 1.19086	   20.10	  24
[2,1,-1]	 1.19086	   20.10	  24
[2,1,1] 	 1.19086	   20.10	  24
[-1,2,-1]	 1.19086	   20.10	  24
[-1,2,1]	 1.19086	   20.10	  24
[1,-2,-1]	 1.19086	   20.10	  24
[1,-2,1]	 1.19086	   20.10	  24
[-2,0,-2]	 1.03132	    7.95	  12
[2,0,2] 	 1.03132	    7.95	  12
[-2,-2,0]	 1.03132	    7.95	  12
[-2,0,2]	 1.03132	    7.95	  12
[0,-2,-2]	 1.03132	    7.95	  12
[0,-2,2]	 1.03132	    7.95	  12
[0,2,-2]	 1.03132	    7.95	  12
[0,2,2] 	 1.03132	    7.95	  12
[2,0,-2]	 1.03132	    7.95	  12
[2,2,0] 	 1.03132	    7.95	  12
[-2,2,0]	 1.03132	    7.95	  12
[2,-2,0]	 1.03132	    7.95	  12
[-1,0,-3]	 0.92244	    3.14	  24
[0,-1,-3]	 0.92244	    3.14	  24
[0,-1,3]	 0.92244	    3.14	  24
[0,1,-3]	 0.92244	    3.14	  24
[0,1,3] 	 0.92244	    3.14	  24
[1,0,3] 	 0.92244	    3.14	  24
[-3,-1,0]	 0.92244	    3.14	  24
[-3,0,-1]	 0.92244	    3.14	  24
[-3,0,1]	 0.92244	    3.14	  24
[-3,1,0]	 0.92244	    3.14	  24
[-1,-3,0]	 0.92244	    3.14	  24
[-1,0,3]	 0.92244	    3.14	  24
[0,-3,-1]	 0.92244	    3.14	  24
[0,-3,1]	 0.92244	    3.14	  24
[0,3,-1]	 0.92244	    3.14	  24
[0,3,1] 	 0.92244	    3.14	  24
[1,0,-3]	 0.92244	    3.14	  24
[1,3,0] 	 0.92244	    3.14	  24
[3,-1,0]	 0.92244	    3.14	  24
[3,0,-1]	 0.92244	    3.14	  24
[3,0,1] 	 0.92244	    3.14	  24
[3,1,0] 	 0.92244	    3.14	  24
[-1,3,0]	 0.92244	    3.14	  24
[1,-3,0]	 0.92244	    3.14	  24
[-2,-2,-2]	 0.84207	    1.24	   8
[2,2,2] 	 0.84207	    1.24	   8
[-2,-2,2]	 0.84207	    1.24	   8
[-2,2,-2]	 0.84207	    1.24	   8
[-2,2,2]	 0.84207	    1.24	   8
[2,-2,-2]	 0.84207	    1.24	   8
[2,-2,2]	 0.84207	    1.24	   8
[2,2,-2]	 0.84207	    1.24	   8
[-2,-1,-3]	 0.77960	    0.49	  48
[-2,1,-3]	 0.77960	    0.49	  48
[-1,-2,-3]	 0.77960	    0.49	  48
[1,2,3] 	 0.77960	    0.49	  48
[2,-1,3]	 0.77960	    0.49	  48
[2,1,3] 	 0.77960	    0.49	  48
[-3,-2,-1]	 0.77960	    0.49	  48
[-3,-2,1]	 0.77960	    0.49	  48
[-3,-1,-2]	 0.77960	    0.49	  48
[-3,-1,2]	 0.77960	    0.49	  48
[-3,1,-2]	 0.77960	    0.49	  48
[-3,1,2]	 0.77960	    0.49	  48
[-3,2,-1]	 0.77960	    0.49	  48
[-3,2,1]	 0.77960	    0.49	  48
[-2,-3,-1]	 0.77960	    0.49	  48
[-2,-3,1]	 0.77960	    0.49	  48
[-2,-1,3]	 0.77960	    0.49	  48
[-2,1,3]	 0.77960	    0.49	  48
[-2,3,-1]	 0.77960	    0.49	  48
[-2,3,1]	 0.77960	    0.49	  48
[-1,-3,-2]	 0.77960	    0.49	  48
[-1,-3,2]	 0.77960	    0.49	  48
[-1,-2,3]	 0.77960	    0.49	  48
[-1,2,-3]	 0.77960	    0.49	  48
[-1,2,3]	 0.77960	    0.49	  48
[-1,3,-2]	 0.77960	    0.49	  48
[-1,3,2]	 0.77960	    0.49	  48
[1,-3,-2]	 0.77960	    0.49	  48
[1,-3,2]	 0.77960	    0.49	  48
[1,-2,-3]	 0.77960	    0.49	  48
[1,-2,3]	 0.77960	    0.49	  48
[1,2,-3]	 0.77960	    0.49	  48
[1,3,-2]	 0.77960	    0.49	  48
[1,3,2] 	 0.77960	    0.49	  48
[2,-3,-1]	 0.77960	    0.49	  48
[2,-3,1]	 0.77960	    0.49	  48
[2,-1,-3]	 0.77960	    0.49	  48
[2,1,-3]	 0.77960	    0.49	  48
[2,3,-1]	 0.77960	    0.49	  48
[2,3,1] 	 0.77960	    0.49	  48
[3,-2,-1]	 0.77960	    0.49	  48
[3,-2,1]	 0.77960	    0.49	  48
[3,-1,-2]	 0.77960	    0.49	  48
[3,-1,2]	 0.77960	    0.49	  48
[3,1,-2]	 0.77960	    0.49	  48
[3,1,2] 	 0.77960	    0.49	  48
[3,2,-1]	 0.77960	    0.49	  48
[3,2,1] 	 0.77960	    0.49	  48
[0,0,-4]	 0.72925	    0.19	   6
[0,0,4] 	 0.72925	    0.19	   6
[-4,0,0]	 0.72925	    0.19	   6
[0,-4,0]	 0.72925	    0.19	   6
[0,4,0] 	 0.72925	    0.19	   6
[4,0,0] 	 0.72925	    0.19	   6
[-1,-1,-4]	 0.68754	    0.08	  24
[1,1,4] 	 0.68754	    0.08	  24
[-3,0,-3]	 0.68754	    0.08	  12
[-1,-4,-1]	 0.68754	    0.08	  24
[-1,-1,4]	 0.68754	    0.08	  24
[-1,1,-4]	 0.68754	    0.08	  24
[-1,1,4]	 0.68754	    0.08	  24
[1,-1,-4]	 0.68754	    0.08	  24
[1,-1,4]	 0.68754	    0.08	  24
[1,1,-4]	 0.68754	    0.08	  24
[1,4,1] 	 0.68754	    0.08	  24
[3,0,3] 	 0.68754	    0.08	  12
[-4,-1,-1]	 0.68754	    0.08	  24
[-4,-1,1]	 0.68754	    0.08	  24
[-4,1,-1]	 0.68754	    0.08	  24
[-4,1,1]	 0.68754	    0.08	  24
[-3,-3,0]	 0.68754	    0.08	  12
[-3,0,3]	 0.68754	    0.08	  12
[-1,-4,1]	 0.68754	    0.08	  24
[-1,4,-1]	 0.68754	    0.08	  24
[-1,4,1]	 0.68754	    0.08	  24
[0,-3,-3]	 0.68754	    0.08	  12
[0,-3,3]	 0.68754	    0.08	  12
[0,3,-3]	 0.68754	    0.08	  12
[0,3,3] 	 0.68754	    0.08	  12
[1,-4,-1]	 0.68754	    0.08	  24
[1,-4,1]	 0.68754	    0.08	  24
[1,4,-1]	 0.68754	    0.08	  24
[3,0,-3]	 0.68754	    0.08	  12
[3,3,0] 	 0.68754	    0.08	  12
[4,-1,-1]	 0.68754	    0.08	  24
[4,-1,1]	 0.68754	    0.08	  24
[4,1,-1]	 0.68754	    0.08	  24
[4,1,1] 	 0.68754	    0.08	  24
[-3,3,0]	 0.68754	    0.08	  12
[3,-3,0]	 0.68754	    0.08	  12
[-2,0,-4]	 0.65226	    0.03	  24
[-2,0,4]	 0.65226	    0.03	  24
[0,-2,-4]	 0.65226	    0.03	  24
[0,-2,4]	 0.65226	    0.03	  24
[0,2,-4]	 0.65226	    0.03	  24
[0,2,4] 	 0.65226	    0.03	  24
[2,0,-4]	 0.65226	    0.03	  24
[2,0,4] 	 0.65226	    0.03	  24
[-4,-2,0]	 0.65226	    0.03	  24
[-4,0,-2]	 0.65226	    0.03	  24
[-4,0,2]	 0.65226	    0.03	  24
[-4,2,0]	 0.65226	    0.03	  24
[-2,-4,0]	 0.65226	    0.03	  24
[0,-4,-2]	 0.65226	    0.03	  24
[0,-4,2]	 0.65226	    0.03	  24
[0,4,-2]	 0.65226	    0.03	  24
[0,4,2] 	 0.65226	    0.03	  24
[2,4,0] 	 0.65226	    0.03	  24
[4,-2,0]	 0.65226	    0.03	  24
[4,0,-2]	 0.65226	    0.03	  24
[4,0,2] 	 0.65226	    0.03	  24
[4,2,0] 	 0.65226	    0.03	  24
[-2,4,0]	 0.65226	    0.03	  24
[2,-4,0]	 0.65226	    0.03	  24
