HKL	          d	    F^2	  M	
[-1,-1,-1]	 3.35267	  178.04	   8
[-1,-1,1]	 3.35267	  178.04	   8
[-1,1,-1]	 3.35267	  178.04	   8
[1,-1,1]	 3.35267	  178.04	   8
[1,1,-1]	 3.35267	  178.04	   8
[1,1,1] 	 3.35267	  178.04	   8
[-1,1,1]	 3.35267	  178.04	   8
[1,-1,-1]	 3.35267	  178.04	   8
[-2,0,0]	 2.90350	    1.10	   6
[0,-2,0]	 2.90350	    1.10	   6
[0,0,-2]	 2.90350	    1.10	   6
[0,0,2] 	 2.90350	    1.10	   6
[0,2,0] 	 2.90350	    1.10	   6
[2,0,0] 	 2.90350	    1.10	   6
[-2,-2,0]	 2.05308	10687.88	  12
[-2,0,-2]	 2.05308	10687.88	  12
[0,-2,-2]	 2.05308	10687.88	  12
[0,-2,2]	 2.05308	10687.88	  12
[0,2,-2]	 2.05308	10687.88	  12
[0,2,2] 	 2.05308	10687.88	  12
[2,0,2] 	 2.05308	10687.88	  12
[2,2,0] 	 2.05308	10687.88	  12
[-2,0,2]	 2.05308	10687.88	  12
[-2,2,0]	 2.05308	10687.88	  12
[2,-2,0]	 2.05308	10687.88	  12
[2,0,-2]	 2.05308	10687.88	  12
[-1,-3,-1]	 1.75088	  505.72	  24
[-1,-3,1]	 1.75088	  505.72	  24
[-1,-1,-3]	 1.75088	  505.72	  24
[-1,1,-3]	 1.75088	  505.72	  24
[1,-1,3]	 1.75088	  505.72	  24
[1,1,3] 	 1.75088	  505.72	  24
[1,3,-1]	 1.75088	  505.72	  24
[1,3,1] 	 1.75088	  505.72	  24
[-3,-1,-1]	 1.75088	  505.72	  24
[-3,-1,1]	 1.75088	  505.72	  24
[-3,1,-1]	 1.75088	  505.72	  24
[-3,1,1]	 1.75088	  505.72	  24
[-1,-1,3]	 1.75088	  505.72	  24
[-1,1,3]	 1.75088	  505.72	  24
[-1,3,-1]	 1.75088	  505.72	  24
[-1,3,1]	 1.75088	  505.72	  24
