HKL	          d	    F^2	  M	
[-1,0,0]	 3.70100	    3.50	   6
[0,-1,0]	 3.70100	    3.50	   6
[0,0,-1]	 3.70100	    3.50	   6
[0,0,1] 	 3.70100	    3.50	   6
[0,1,0] 	 3.70100	    3.50	   6
[1,0,0] 	 3.70100	    3.50	   6
[-1,-1,0]	 2.61700	    2.63	  12
[-1,0,-1]	 2.61700	    2.63	  12
[0,-1,-1]	 2.61700	    2.63	  12
[0,-1,1]	 2.61700	    2.63	  12
[0,1,-1]	 2.61700	    2.63	  12
[0,1,1] 	 2.61700	    2.63	  12
[1,0,1] 	 2.61700	    2.63	  12
[1,1,0] 	 2.61700	    2.63	  12
[-1,0,1]	 2.61700	    2.63	  12
[-1,1,0]	 2.61700	    2.63	  12
[1,-1,0]	 2.61700	    2.63	  12
[1,0,-1]	 2.61700	    2.63	  12
[-1,-1,-1]	 2.13677	  534.95	   8
[1,1,1] 	 2.13677	  534.95	   8
[-1,-1,1]	 2.13677	  534.95	   8
[-1,1,-1]	 2.13677	  534.95	   8
[1,-1,1]	 2.13677	  534.95	   8
[1,1,-1]	 2.13677	  534.95	   8
[-1,1,1]	 2.13677	  534.95	   8
[1,-1,-1]	 2.13677	  534.95	   8
[-2,0,0]	 1.85050	  401.00	   6
[0,-2,0]	 1.85050	  401.00	   6
[0,0,-2]	 1.85050	  401.00	   6
[0,0,2] 	 1.85050	  401.00	   6
[0,2,0] 	 1.85050	  401.00	   6
[2,0,0] 	 1.85050	  401.00	   6
[-1,-2,0]	 1.65514	    1.11	  24
[-1,0,-2]	 1.65514	    1.11	  24
[1,0,2] 	 1.65514	    1.11	  24
[1,2,0] 	 1.65514	    1.11	  24
[-2,-1,0]	 1.65514	    1.11	  24
[-2,0,-1]	 1.65514	    1.11	  24
[-2,0,1]	 1.65514	    1.11	  24
[-2,1,0]	 1.65514	    1.11	  24
[-1,0,2]	 1.65514	    1.11	  24
[-1,2,0]	 1.65514	    1.11	  24
[0,-2,-1]	 1.65514	    1.11	  24
[0,-2,1]	 1.65514	    1.11	  24
[0,-1,-2]	 1.65514	    1.11	  24
[0,-1,2]	 1.65514	    1.11	  24
[0,1,-2]	 1.65514	    1.11	  24
[0,1,2] 	 1.65514	    1.11	  24
[0,2,-1]	 1.65514	    1.11	  24
[0,2,1] 	 1.65514	    1.11	  24
[1,-2,0]	 1.65514	    1.11	  24
[1,0,-2]	 1.65514	    1.11	  24
[2,-1,0]	 1.65514	    1.11	  24
[2,0,-1]	 1.65514	    1.11	  24
[2,0,1] 	 1.65514	    1.11	  24
[2,1,0] 	 1.65514	    1.11	  24
[-1,-2,-1]	 1.51093	    0.83	  24
[-1,-1,-2]	 1.51093	    0.83	  24
[1,1,2] 	 1.51093	    0.83	  24
[1,2,1] 	 1.51093	    0.83	  24
[-2,-1,-1]	 1.51093	    0.83	  24
[-2,-1,1]	 1.51093	    0.83	  24
[-2,1,-1]	 1.51093	    0.83	  24
[-2,1,1]	 1.51093	    0.83	  24
[-1,-2,1]	 1.51093	    0.83	  24
[-1,-1,2]	 1.51093	    0.83	  24
[-1,1,-2]	 1.51093	    0.83	  24
[-1,1,2]	 1.51093	    0.83	  24
[-1,2,-1]	 1.51093	    0.83	  24
[1,-2,1]	 1.51093	    0.83	  24
[1,-1,-2]	 1.51093	    0.83	  24
[1,-1,2]	 1.51093	    0.83	  24
[1,1,-2]	 1.51093	    0.83	  24
