HKL	          d	    F^2	  M	
[-1,-1,-1]	 2.06807	 1158.21	   8
[-1,-1,1]	 2.06807	 1158.21	   8
[-1,1,-1]	 2.06807	 1158.21	   8
[1,-1,1]	 2.06807	 1158.21	   8
[1,1,-1]	 2.06807	 1158.21	   8
[1,1,1] 	 2.06807	 1158.21	   8
[-1,1,1]	 2.06807	 1158.21	   8
[1,-1,-1]	 2.06807	 1158.21	   8
[-2,0,0]	 1.79100	 1123.11	   6
[0,-2,0]	 1.79100	 1123.11	   6
[0,0,-2]	 1.79100	 1123.11	   6
[0,0,2] 	 1.79100	 1123.11	   6
[0,2,0] 	 1.79100	 1123.11	   6
[2,0,0] 	 1.79100	 1123.11	   6
[-2,-2,0]	 1.26643	  993.05	  12
[-2,0,-2]	 1.26643	  993.05	  12
[2,0,2] 	 1.26643	  993.05	  12
[2,2,0] 	 1.26643	  993.05	  12
[-2,0,2]	 1.26643	  993.05	  12
[-2,2,0]	 1.26643	  993.05	  12
[0,-2,-2]	 1.26643	  993.05	  12
[0,-2,2]	 1.26643	  993.05	  12
[0,2,-2]	 1.26643	  993.05	  12
[0,2,2] 	 1.26643	  993.05	  12
[2,-2,0]	 1.26643	  993.05	  12
[2,0,-2]	 1.26643	  993.05	  12
[-3,-1,-1]	 1.08001	  905.49	  24
[-3,-1,1]	 1.08001	  905.49	  24
[-3,1,-1]	 1.08001	  905.49	  24
[-3,1,1]	 1.08001	  905.49	  24
[-1,-3,-1]	 1.08001	  905.49	  24
[-1,-3,1]	 1.08001	  905.49	  24
[-1,-1,-3]	 1.08001	  905.49	  24
[-1,-1,3]	 1.08001	  905.49	  24
[-1,1,-3]	 1.08001	  905.49	  24
[-1,1,3]	 1.08001	  905.49	  24
[-1,3,-1]	 1.08001	  905.49	  24
[-1,3,1]	 1.08001	  905.49	  24
[1,-3,-1]	 1.08001	  905.49	  24
[1,-3,1]	 1.08001	  905.49	  24
[1,-1,-3]	 1.08001	  905.49	  24
[1,-1,3]	 1.08001	  905.49	  24
[1,1,-3]	 1.08001	  905.49	  24
[1,1,3] 	 1.08001	  905.49	  24
[1,3,-1]	 1.08001	  905.49	  24
[1,3,1] 	 1.08001	  905.49	  24
[3,-1,-1]	 1.08001	  905.49	  24
[3,-1,1]	 1.08001	  905.49	  24
[3,1,-1]	 1.08001	  905.49	  24
[3,1,1] 	 1.08001	  905.49	  24
[-2,-2,-2]	 1.03403	  878.05	   8
[-2,-2,2]	 1.03403	  878.05	   8
[-2,2,-2]	 1.03403	  878.05	   8
[2,-2,2]	 1.03403	  878.05	   8
[2,2,-2]	 1.03403	  878.05	   8
[2,2,2] 	 1.03403	  878.05	   8
[-2,2,2]	 1.03403	  878.05	   8
[2,-2,-2]	 1.03403	  878.05	   8
[-4,0,0]	 0.89550	  776.37	   6
[0,-4,0]	 0.89550	  776.37	   6
[0,0,-4]	 0.89550	  776.37	   6
[0,0,4] 	 0.89550	  776.37	   6
[0,4,0] 	 0.89550	  776.37	   6
[4,0,0] 	 0.89550	  776.37	   6
[-3,-3,-1]	 0.82177	  707.92	  24
[-3,-3,1]	 0.82177	  707.92	  24
[-3,-1,-3]	 0.82177	  707.92	  24
[-3,1,-3]	 0.82177	  707.92	  24
[-1,-3,-3]	 0.82177	  707.92	  24
[1,3,3] 	 0.82177	  707.92	  24
[3,-1,3]	 0.82177	  707.92	  24
[3,1,3] 	 0.82177	  707.92	  24
[3,3,-1]	 0.82177	  707.92	  24
[3,3,1] 	 0.82177	  707.92	  24
[-3,-1,3]	 0.82177	  707.92	  24
[-3,1,3]	 0.82177	  707.92	  24
[-3,3,-1]	 0.82177	  707.92	  24
[-3,3,1]	 0.82177	  707.92	  24
[-1,-3,3]	 0.82177	  707.92	  24
[-1,3,-3]	 0.82177	  707.92	  24
[-1,3,3]	 0.82177	  707.92	  24
[1,-3,-3]	 0.82177	  707.92	  24
[1,-3,3]	 0.82177	  707.92	  24
