HKL	          d	    F^2	  M	
[-1,-1,0]	 2.02636	  112.70	  12
[-1,0,-1]	 2.02636	  112.70	  12
[-1,0,1]	 2.02636	  112.70	  12
[-1,1,0]	 2.02636	  112.70	  12
[0,-1,-1]	 2.02636	  112.70	  12
[0,-1,1]	 2.02636	  112.70	  12
[0,1,-1]	 2.02636	  112.70	  12
[0,1,1] 	 2.02636	  112.70	  12
[1,-1,0]	 2.02636	  112.70	  12
[1,0,-1]	 2.02636	  112.70	  12
[1,0,1] 	 2.02636	  112.70	  12
[1,1,0] 	 2.02636	  112.70	  12
[-2,0,0]	 1.43285	  102.37	   6
[0,-2,0]	 1.43285	  102.37	   6
[0,0,-2]	 1.43285	  102.37	   6
[0,0,2] 	 1.43285	  102.37	   6
[0,2,0] 	 1.43285	  102.37	   6
[2,0,0] 	 1.43285	  102.37	   6
[-2,-1,-1]	 1.16992	   92.99	  24
[2,1,1] 	 1.16992	   92.99	  24
[-2,-1,1]	 1.16992	   92.99	  24
[-2,1,-1]	 1.16992	   92.99	  24
[-1,-2,-1]	 1.16992	   92.99	  24
[-1,-2,1]	 1.16992	   92.99	  24
[-1,-1,-2]	 1.16992	   92.99	  24
[-1,-1,2]	 1.16992	   92.99	  24
[-1,1,-2]	 1.16992	   92.99	  24
[-1,1,2]	 1.16992	   92.99	  24
[-1,2,-1]	 1.16992	   92.99	  24
[-1,2,1]	 1.16992	   92.99	  24
[1,-2,-1]	 1.16992	   92.99	  24
[1,-2,1]	 1.16992	   92.99	  24
[1,-1,-2]	 1.16992	   92.99	  24
[1,-1,2]	 1.16992	   92.99	  24
[1,1,-2]	 1.16992	   92.99	  24
[1,1,2] 	 1.16992	   92.99	  24
[1,2,-1]	 1.16992	   92.99	  24
[1,2,1] 	 1.16992	   92.99	  24
[2,-1,1]	 1.16992	   92.99	  24
[2,1,-1]	 1.16992	   92.99	  24
[-2,1,1]	 1.16992	   92.99	  24
[2,-1,-1]	 1.16992	   92.99	  24
[-2,-2,0]	 1.01318	   84.46	  12
[-2,0,-2]	 1.01318	   84.46	  12
[-2,0,2]	 1.01318	   84.46	  12
[-2,2,0]	 1.01318	   84.46	  12
[0,-2,-2]	 1.01318	   84.46	  12
[0,-2,2]	 1.01318	   84.46	  12
[0,2,-2]	 1.01318	   84.46	  12
[0,2,2] 	 1.01318	   84.46	  12
[2,-2,0]	 1.01318	   84.46	  12
[2,0,-2]	 1.01318	   84.46	  12
[2,0,2] 	 1.01318	   84.46	  12
[2,2,0] 	 1.01318	   84.46	  12
[-3,-1,0]	 0.90621	   76.72	  24
[-3,0,-1]	 0.90621	   76.72	  24
[-3,0,1]	 0.90621	   76.72	  24
[-3,1,0]	 0.90621	   76.72	  24
[-1,-3,0]	 0.90621	   76.72	  24
[-1,0,-3]	 0.90621	   76.72	  24
[-1,0,3]	 0.90621	   76.72	  24
[-1,3,0]	 0.90621	   76.72	  24
[0,-3,-1]	 0.90621	   76.72	  24
[0,-3,1]	 0.90621	   76.72	  24
[0,-1,-3]	 0.90621	   76.72	  24
[0,-1,3]	 0.90621	   76.72	  24
[0,1,-3]	 0.90621	   76.72	  24
[0,1,3] 	 0.90621	   76.72	  24
[0,3,-1]	 0.90621	   76.72	  24
[0,3,1] 	 0.90621	   76.72	  24
[1,-3,0]	 0.90621	   76.72	  24
[1,0,-3]	 0.90621	   76.72	  24
[1,0,3] 	 0.90621	   76.72	  24
[1,3,0] 	 0.90621	   76.72	  24
[3,-1,0]	 0.90621	   76.72	  24
[3,0,-1]	 0.90621	   76.72	  24
[3,0,1] 	 0.90621	   76.72	  24
[3,1,0] 	 0.90621	   76.72	  24
[-2,-2,-2]	 0.82726	   69.69	   8
[-2,-2,2]	 0.82726	   69.69	   8
[-2,2,-2]	 0.82726	   69.69	   8
[2,-2,2]	 0.82726	   69.69	   8
[2,2,-2]	 0.82726	   69.69	   8
[2,2,2] 	 0.82726	   69.69	   8
[-2,2,2]	 0.82726	   69.69	   8
[2,-2,-2]	 0.82726	   69.69	   8
[-3,-2,-1]	 0.76589	   63.30	  48
[-3,-2,1]	 0.76589	   63.30	  48
[-3,-1,-2]	 0.76589	   63.30	  48
[-3,1,-2]	 0.76589	   63.30	  48
[-2,-3,-1]	 0.76589	   63.30	  48
[-2,-3,1]	 0.76589	   63.30	  48
[-2,-1,-3]	 0.76589	   63.30	  48
[-2,1,-3]	 0.76589	   63.30	  48
[-1,-3,-2]	 0.76589	   63.30	  48
[-1,-3,2]	 0.76589	   63.30	  48
[-1,-2,-3]	 0.76589	   63.30	  48
[-1,3,-2]	 0.76589	   63.30	  48
[1,-3,2]	 0.76589	   63.30	  48
[1,2,3] 	 0.76589	   63.30	  48
[1,3,-2]	 0.76589	   63.30	  48
[1,3,2] 	 0.76589	   63.30	  48
[2,-1,3]	 0.76589	   63.30	  48
[2,1,3] 	 0.76589	   63.30	  48
[2,3,-1]	 0.76589	   63.30	  48
[2,3,1] 	 0.76589	   63.30	  48
[3,-1,2]	 0.76589	   63.30	  48
[3,1,2] 	 0.76589	   63.30	  48
[3,2,-1]	 0.76589	   63.30	  48
[3,2,1] 	 0.76589	   63.30	  48
[-3,-1,2]	 0.76589	   63.30	  48
[-3,1,2]	 0.76589	   63.30	  48
[-3,2,-1]	 0.76589	   63.30	  48
[-3,2,1]	 0.76589	   63.30	  48
[-2,-1,3]	 0.76589	   63.30	  48
[-2,3,-1]	 0.76589	   63.30	  48
[-2,3,1]	 0.76589	   63.30	  48
[-1,-2,3]	 0.76589	   63.30	  48
[-1,2,-3]	 0.76589	   63.30	  48
[-1,2,3]	 0.76589	   63.30	  48
[-1,3,2]	 0.76589	   63.30	  48
[1,-3,-2]	 0.76589	   63.30	  48
[1,-2,-3]	 0.76589	   63.30	  48
[1,-2,3]	 0.76589	   63.30	  48
[1,2,-3]	 0.76589	   63.30	  48
[2,-3,-1]	 0.76589	   63.30	  48
[2,-3,1]	 0.76589	   63.30	  48
[2,1,-3]	 0.76589	   63.30	  48
[3,-2,-1]	 0.76589	   63.30	  48
[3,-2,1]	 0.76589	   63.30	  48
[3,-1,-2]	 0.76589	   63.30	  48
[3,1,-2]	 0.76589	   63.30	  48
[-2,1,3]	 0.76589	   63.30	  48
[2,-1,-3]	 0.76589	   63.30	  48
[-4,0,0]	 0.71642	   57.50	   6
[0,-4,0]	 0.71642	   57.50	   6
[0,0,-4]	 0.71642	   57.50	   6
[0,0,4] 	 0.71642	   57.50	   6
[0,4,0] 	 0.71642	   57.50	   6
[4,0,0] 	 0.71642	   57.50	   6
[-4,-1,-1]	 0.67545	   52.23	  24
[-4,-1,1]	 0.67545	   52.23	  24
[-4,1,-1]	 0.67545	   52.23	  24
[-4,1,1]	 0.67545	   52.23	  24
[-3,-3,0]	 0.67545	   52.23	  12
[-3,0,-3]	 0.67545	   52.23	  12
[-1,-4,-1]	 0.67545	   52.23	  24
[-1,-4,1]	 0.67545	   52.23	  24
[-1,-1,-4]	 0.67545	   52.23	  24
[-1,-1,4]	 0.67545	   52.23	  24
[-1,1,-4]	 0.67545	   52.23	  24
[-1,1,4]	 0.67545	   52.23	  24
[-1,4,-1]	 0.67545	   52.23	  24
[-1,4,1]	 0.67545	   52.23	  24
[1,-4,-1]	 0.67545	   52.23	  24
[1,-4,1]	 0.67545	   52.23	  24
[1,-1,-4]	 0.67545	   52.23	  24
[1,-1,4]	 0.67545	   52.23	  24
[1,1,-4]	 0.67545	   52.23	  24
[1,1,4] 	 0.67545	   52.23	  24
[1,4,-1]	 0.67545	   52.23	  24
[1,4,1] 	 0.67545	   52.23	  24
[3,0,3] 	 0.67545	   52.23	  12
[3,3,0] 	 0.67545	   52.23	  12
[4,-1,-1]	 0.67545	   52.23	  24
