HKL	          d	    F^2	  M	
[-1,-1,-1]	 2.08710	  953.08	   8
[-1,-1,1]	 2.08710	  953.08	   8
[-1,1,-1]	 2.08710	  953.08	   8
[1,-1,1]	 2.08710	  953.08	   8
[1,1,-1]	 2.08710	  953.08	   8
[1,1,1] 	 2.08710	  953.08	   8
[-1,1,1]	 2.08710	  953.08	   8
[1,-1,-1]	 2.08710	  953.08	   8
[-2,0,0]	 1.80748	  953.08	   6
[0,-2,0]	 1.80748	  953.08	   6
[0,0,-2]	 1.80748	  953.08	   6
[0,0,2] 	 1.80748	  953.08	   6
[0,2,0] 	 1.80748	  953.08	   6
[2,0,0] 	 1.80748	  953.08	   6
[-2,-2,0]	 1.27808	  953.08	  12
[-2,0,-2]	 1.27808	  953.08	  12
[2,0,2] 	 1.27808	  953.08	  12
[2,2,0] 	 1.27808	  953.08	  12
[0,-2,-2]	 1.27808	  953.08	  12
[0,-2,2]	 1.27808	  953.08	  12
[0,2,-2]	 1.27808	  953.08	  12
[0,2,2] 	 1.27808	  953.08	  12
[-2,0,2]	 1.27808	  953.08	  12
[-2,2,0]	 1.27808	  953.08	  12
[2,-2,0]	 1.27808	  953.08	  12
[2,0,-2]	 1.27808	  953.08	  12
[-1,-3,-1]	 1.08995	  953.08	  24
[-1,-3,1]	 1.08995	  953.08	  24
[-1,-1,-3]	 1.08995	  953.08	  24
[1,1,3] 	 1.08995	  953.08	  24
[1,3,-1]	 1.08995	  953.08	  24
[1,3,1] 	 1.08995	  953.08	  24
[-3,-1,-1]	 1.08995	  953.08	  24
[-3,-1,1]	 1.08995	  953.08	  24
[-3,1,-1]	 1.08995	  953.08	  24
[-3,1,1]	 1.08995	  953.08	  24
[-1,-1,3]	 1.08995	  953.08	  24
[-1,1,-3]	 1.08995	  953.08	  24
[-1,1,3]	 1.08995	  953.08	  24
[-1,3,-1]	 1.08995	  953.08	  24
[-1,3,1]	 1.08995	  953.08	  24
[1,-3,-1]	 1.08995	  953.08	  24
[1,-3,1]	 1.08995	  953.08	  24
[1,-1,-3]	 1.08995	  953.08	  24
[1,-1,3]	 1.08995	  953.08	  24
[1,1,-3]	 1.08995	  953.08	  24
[3,-1,-1]	 1.08995	  953.08	  24
[3,-1,1]	 1.08995	  953.08	  24
[3,1,-1]	 1.08995	  953.08	  24
[3,1,1] 	 1.08995	  953.08	  24
[-2,-2,-2]	 1.04355	  953.08	   8
[-2,-2,2]	 1.04355	  953.08	   8
[-2,2,-2]	 1.04355	  953.08	   8
[2,-2,2]	 1.04355	  953.08	   8
[2,2,-2]	 1.04355	  953.08	   8
[2,2,2] 	 1.04355	  953.08	   8
[-2,2,2]	 1.04355	  953.08	   8
[2,-2,-2]	 1.04355	  953.08	   8
[-4,0,0]	 0.90374	  953.08	   6
[0,-4,0]	 0.90374	  953.08	   6
[0,0,-4]	 0.90374	  953.08	   6
[0,0,4] 	 0.90374	  953.08	   6
[0,4,0] 	 0.90374	  953.08	   6
[4,0,0] 	 0.90374	  953.08	   6
[-3,-3,-1]	 0.82933	  953.08	  24
[-3,-3,1]	 0.82933	  953.08	  24
[-3,-1,-3]	 0.82933	  953.08	  24
[-3,-1,3]	 0.82933	  953.08	  24
[-3,1,-3]	 0.82933	  953.08	  24
[-3,1,3]	 0.82933	  953.08	  24
[-3,3,-1]	 0.82933	  953.08	  24
[-3,3,1]	 0.82933	  953.08	  24
[-1,-3,-3]	 0.82933	  953.08	  24
[-1,-3,3]	 0.82933	  953.08	  24
[-1,3,-3]	 0.82933	  953.08	  24
[-1,3,3]	 0.82933	  953.08	  24
[1,-3,-3]	 0.82933	  953.08	  24
[1,-3,3]	 0.82933	  953.08	  24
[1,3,-3]	 0.82933	  953.08	  24
[1,3,3] 	 0.82933	  953.08	  24
[3,-3,-1]	 0.82933	  953.08	  24
[3,-3,1]	 0.82933	  953.08	  24
[3,-1,-3]	 0.82933	  953.08	  24
[3,-1,3]	 0.82933	  953.08	  24
[3,1,-3]	 0.82933	  953.08	  24
[3,1,3] 	 0.82933	  953.08	  24
[3,3,-1]	 0.82933	  953.08	  24
[3,3,1] 	 0.82933	  953.08	  24
[-2,-4,0]	 0.80833	  953.08	  24
[-2,0,-4]	 0.80833	  953.08	  24
[0,-2,-4]	 0.80833	  953.08	  24
[0,2,4] 	 0.80833	  953.08	  24
[2,0,4] 	 0.80833	  953.08	  24
[2,4,0] 	 0.80833	  953.08	  24
[-4,-2,0]	 0.80833	  953.08	  24
[-4,0,-2]	 0.80833	  953.08	  24
[-4,0,2]	 0.80833	  953.08	  24
[-4,2,0]	 0.80833	  953.08	  24
[-2,0,4]	 0.80833	  953.08	  24
[-2,4,0]	 0.80833	  953.08	  24
[0,-4,-2]	 0.80833	  953.08	  24
[0,-4,2]	 0.80833	  953.08	  24
[0,-2,4]	 0.80833	  953.08	  24
[0,2,-4]	 0.80833	  953.08	  24
[0,4,-2]	 0.80833	  953.08	  24
[0,4,2] 	 0.80833	  953.08	  24
[2,-4,0]	 0.80833	  953.08	  24
[2,0,-4]	 0.80833	  953.08	  24
[4,-2,0]	 0.80833	  953.08	  24
[4,0,-2]	 0.80833	  953.08	  24
[4,0,2] 	 0.80833	  953.08	  24
[4,2,0] 	 0.80833	  953.08	  24
[-2,-4,-2]	 0.73790	  953.08	  24
[-2,-4,2]	 0.73790	  953.08	  24
[-2,-2,-4]	 0.73790	  953.08	  24
[2,2,4] 	 0.73790	  953.08	  24
[2,4,-2]	 0.73790	  953.08	  24
[2,4,2] 	 0.73790	  953.08	  24
[-4,-2,-2]	 0.73790	  953.08	  24
[-4,-2,2]	 0.73790	  953.08	  24
[-4,2,-2]	 0.73790	  953.08	  24
[-4,2,2]	 0.73790	  953.08	  24
[-2,-2,4]	 0.73790	  953.08	  24
[-2,2,-4]	 0.73790	  953.08	  24
[-2,2,4]	 0.73790	  953.08	  24
[-2,4,-2]	 0.73790	  953.08	  24
[-2,4,2]	 0.73790	  953.08	  24
[2,-4,-2]	 0.73790	  953.08	  24
[2,-4,2]	 0.73790	  953.08	  24
[2,-2,-4]	 0.73790	  953.08	  24
[2,-2,4]	 0.73790	  953.08	  24
[2,2,-4]	 0.73790	  953.08	  24
[4,-2,-2]	 0.73790	  953.08	  24
[4,-2,2]	 0.73790	  953.08	  24
[4,2,-2]	 0.73790	  953.08	  24
[4,2,2] 	 0.73790	  953.08	  24
[-5,-1,-1]	 0.69570	  953.08	  24
[-5,-1,1]	 0.69570	  953.08	  24
[-5,1,-1]	 0.69570	  953.08	  24
[-5,1,1]	 0.69570	  953.08	  24
[-3,-3,-3]	 0.69570	  953.08	   8
[-3,-3,3]	 0.69570	  953.08	   8
[-3,3,-3]	 0.69570	  953.08	   8
[-1,-5,-1]	 0.69570	  953.08	  24
[-1,-5,1]	 0.69570	  953.08	  24
[-1,-1,-5]	 0.69570	  953.08	  24
[-1,-1,5]	 0.69570	  953.08	  24
[-1,1,-5]	 0.69570	  953.08	  24
