HKL	          d	    F^2	  M	
[-1,-1,-1]	 2.06807	  461.23	   8
[-1,-1,1]	 2.06807	  461.23	   8
[-1,1,-1]	 2.06807	  461.23	   8
[1,-1,1]	 2.06807	  461.23	   8
[1,1,-1]	 2.06807	  461.23	   8
[1,1,1] 	 2.06807	  461.23	   8
[-1,1,1]	 2.06807	  461.23	   8
[1,-1,-1]	 2.06807	  461.23	   8
[-2,0,0]	 1.79100	  447.26	   6
[0,-2,0]	 1.79100	  447.26	   6
[0,0,-2]	 1.79100	  447.26	   6
[0,0,2] 	 1.79100	  447.26	   6
[0,2,0] 	 1.79100	  447.26	   6
[2,0,0] 	 1.79100	  447.26	   6
[-2,-2,0]	 1.26643	  395.46	  12
[-2,0,-2]	 1.26643	  395.46	  12
[2,0,2] 	 1.26643	  395.46	  12
[2,2,0] 	 1.26643	  395.46	  12
[-2,0,2]	 1.26643	  395.46	  12
[-2,2,0]	 1.26643	  395.46	  12
[0,-2,-2]	 1.26643	  395.46	  12
[0,-2,2]	 1.26643	  395.46	  12
[0,2,-2]	 1.26643	  395.46	  12
[0,2,2] 	 1.26643	  395.46	  12
[2,-2,0]	 1.26643	  395.46	  12
[2,0,-2]	 1.26643	  395.46	  12
[-3,-1,-1]	 1.08001	  360.59	  24
[-3,-1,1]	 1.08001	  360.59	  24
[-3,1,-1]	 1.08001	  360.59	  24
[-3,1,1]	 1.08001	  360.59	  24
[-1,-3,-1]	 1.08001	  360.59	  24
[-1,-3,1]	 1.08001	  360.59	  24
[-1,-1,-3]	 1.08001	  360.59	  24
[-1,-1,3]	 1.08001	  360.59	  24
[-1,1,-3]	 1.08001	  360.59	  24
[-1,1,3]	 1.08001	  360.59	  24
[-1,3,-1]	 1.08001	  360.59	  24
[-1,3,1]	 1.08001	  360.59	  24
[1,-3,-1]	 1.08001	  360.59	  24
[1,-3,1]	 1.08001	  360.59	  24
[1,-1,-3]	 1.08001	  360.59	  24
[1,-1,3]	 1.08001	  360.59	  24
[1,1,-3]	 1.08001	  360.59	  24
[1,1,3] 	 1.08001	  360.59	  24
[1,3,-1]	 1.08001	  360.59	  24
[1,3,1] 	 1.08001	  360.59	  24
[3,-1,-1]	 1.08001	  360.59	  24
[3,-1,1]	 1.08001	  360.59	  24
[3,1,-1]	 1.08001	  360.59	  24
[3,1,1] 	 1.08001	  360.59	  24
[-2,-2,-2]	 1.03403	  349.67	   8
[-2,-2,2]	 1.03403	  349.67	   8
[-2,2,-2]	 1.03403	  349.67	   8
[2,-2,2]	 1.03403	  349.67	   8
[2,2,-2]	 1.03403	  349.67	   8
[2,2,2] 	 1.03403	  349.67	   8
[-2,2,2]	 1.03403	  349.67	   8
[2,-2,-2]	 1.03403	  349.67	   8
[-4,0,0]	 0.89550	  309.17	   6
[0,-4,0]	 0.89550	  309.17	   6
[0,0,-4]	 0.89550	  309.17	   6
[0,0,4] 	 0.89550	  309.17	   6
[0,4,0] 	 0.89550	  309.17	   6
[4,0,0] 	 0.89550	  309.17	   6
[-3,-3,-1]	 0.82177	  281.91	  24
[-3,-3,1]	 0.82177	  281.91	  24
[-3,-1,-3]	 0.82177	  281.91	  24
[-3,1,-3]	 0.82177	  281.91	  24
[-1,-3,-3]	 0.82177	  281.91	  24
[1,3,3] 	 0.82177	  281.91	  24
[3,-1,3]	 0.82177	  281.91	  24
[3,1,3] 	 0.82177	  281.91	  24
[3,3,-1]	 0.82177	  281.91	  24
[3,3,1] 	 0.82177	  281.91	  24
[-3,-1,3]	 0.82177	  281.91	  24
[-3,1,3]	 0.82177	  281.91	  24
[-3,3,-1]	 0.82177	  281.91	  24
[-3,3,1]	 0.82177	  281.91	  24
[-1,-3,3]	 0.82177	  281.91	  24
[-1,3,-3]	 0.82177	  281.91	  24
[-1,3,3]	 0.82177	  281.91	  24
[1,-3,-3]	 0.82177	  281.91	  24
[1,-3,3]	 0.82177	  281.91	  24
[1,3,-3]	 0.82177	  281.91	  24
[3,-3,-1]	 0.82177	  281.91	  24
[3,-3,1]	 0.82177	  281.91	  24
[3,-1,-3]	 0.82177	  281.91	  24
[3,1,-3]	 0.82177	  281.91	  24
[-4,-2,0]	 0.80096	  273.37	  24
[-4,0,-2]	 0.80096	  273.37	  24
[-4,0,2]	 0.80096	  273.37	  24
[-4,2,0]	 0.80096	  273.37	  24
[-2,-4,0]	 0.80096	  273.37	  24
[-2,0,-4]	 0.80096	  273.37	  24
[0,-4,-2]	 0.80096	  273.37	  24
[0,-4,2]	 0.80096	  273.37	  24
[0,-2,-4]	 0.80096	  273.37	  24
[0,2,4] 	 0.80096	  273.37	  24
[0,4,-2]	 0.80096	  273.37	  24
[0,4,2] 	 0.80096	  273.37	  24
[2,0,4] 	 0.80096	  273.37	  24
[2,4,0] 	 0.80096	  273.37	  24
[4,-2,0]	 0.80096	  273.37	  24
[4,0,-2]	 0.80096	  273.37	  24
[4,0,2] 	 0.80096	  273.37	  24
[4,2,0] 	 0.80096	  273.37	  24
[-2,0,4]	 0.80096	  273.37	  24
[-2,4,0]	 0.80096	  273.37	  24
[0,-2,4]	 0.80096	  273.37	  24
[0,2,-4]	 0.80096	  273.37	  24
[2,-4,0]	 0.80096	  273.37	  24
[2,0,-4]	 0.80096	  273.37	  24
[-4,-2,-2]	 0.73117	  241.71	  24
[-4,-2,2]	 0.73117	  241.71	  24
[-4,2,-2]	 0.73117	  241.71	  24
[-4,2,2]	 0.73117	  241.71	  24
[-2,-4,-2]	 0.73117	  241.71	  24
[-2,-4,2]	 0.73117	  241.71	  24
[-2,-2,-4]	 0.73117	  241.71	  24
[2,2,4] 	 0.73117	  241.71	  24
[2,4,-2]	 0.73117	  241.71	  24
[2,4,2] 	 0.73117	  241.71	  24
[4,-2,-2]	 0.73117	  241.71	  24
[4,-2,2]	 0.73117	  241.71	  24
[4,2,-2]	 0.73117	  241.71	  24
[4,2,2] 	 0.73117	  241.71	  24
[-2,-2,4]	 0.73117	  241.71	  24
[-2,2,-4]	 0.73117	  241.71	  24
[-2,2,4]	 0.73117	  241.71	  24
[-2,4,-2]	 0.73117	  241.71	  24
[-2,4,2]	 0.73117	  241.71	  24
[2,-4,-2]	 0.73117	  241.71	  24
[2,-4,2]	 0.73117	  241.71	  24
[2,-2,-4]	 0.73117	  241.71	  24
[2,-2,4]	 0.73117	  241.71	  24
[2,2,-4]	 0.73117	  241.71	  24
[-3,-3,-3]	 0.68936	  220.40	   8
[3,3,3] 	 0.68936	  220.40	   8
