HKL	          d	    F^2	  M	
[0,-1,-2]	 3.84057	  324.98	   6
[0,1,2] 	 3.84057	  324.98	   6
[-1,0,2]	 3.84057	  324.98	   6
[1,0,-2]	 3.84057	  324.98	   6
[-1,-1,0]	 3.36639	 3611.99	   6
[1,1,0] 	 3.36639	 3611.99	   6
[-1,1,-2]	 2.98918	  324.98	   6
[1,-1,2]	 2.98918	  324.98	   6
[-1,0,-4]	 2.68389	 2617.71	   6
[0,-1,4]	 2.68389	 2617.71	   6
[0,1,-4]	 2.68389	 2617.71	   6
[1,0,4] 	 2.68389	 2617.71	   6
[-1,-1,-3]	 2.65829	 2970.29	  12
[1,1,3] 	 2.65829	 2970.29	  12
[-1,-1,3]	 2.65829	 2970.29	  12
[1,1,-3]	 2.65829	 2970.29	  12
[-1,1,4]	 2.33797	 2617.71	   6
[1,-1,-4]	 2.33797	 2617.71	   6
[-2,0,-2]	 2.23518	    1.04	   6
[0,-2,2]	 2.23518	    1.04	   6
[0,2,-2]	 2.23518	    1.04	   6
[2,0,2] 	 2.23518	    1.04	   6
[0,0,-6]	 2.16632	40186.18	   2
[0,0,6] 	 2.16632	40186.18	   2
[-2,1,0]	 2.12909	 3611.99	   6
[-1,2,0]	 2.12909	 3611.99	   6
[1,-2,0]	 2.12909	 3611.99	   6
[2,-1,0]	 2.12909	 3611.99	   6
[-2,-1,-1]	 2.10109	 1734.38	  12
[-1,-2,1]	 2.10109	 1734.38	  12
[1,2,-1]	 2.10109	 1734.38	  12
[2,1,1] 	 2.10109	 1734.38	  12
[-2,-1,2]	 2.02329	   49.57	  12
[-1,-2,-2]	 2.02329	   49.57	  12
[1,2,2] 	 2.02329	   49.57	  12
[2,1,-2]	 2.02329	   49.57	  12
[0,-2,-4]	 1.92028	   44.00	   6
[0,2,4] 	 1.92028	   44.00	   6
[-2,0,4]	 1.92028	   44.00	   6
[2,0,-4]	 1.92028	   44.00	   6
[-2,1,-3]	 1.91084	 2970.29	  12
[-1,2,-3]	 1.91084	 2970.29	  12
[1,-2,3]	 1.91084	 2970.29	  12
